,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
10690,62388,ACETILCISTEÍNA BEXAL 100 mg POLVO PARA SOLUCIÓN ORAL EFG,Bexal Farmaceutica S.A.,01/02/1999,Anulado,22/11/2021,R05CB01,ACETILCISTEINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ACETILCISTEÍNA
10691,62389,ACETILCISTEÍNA BEXAL 200 mg POLVO PARA SOLUCIÓN ORAL EFG,Bexal Farmaceutica S.A.,01/02/1999,Autorizado,01/02/1999,R05CB01,ACETILCISTEINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ACETILCISTEÍNA
10692,62402,VANDRAL RETARD 150 mg CAPSULAS DURAS DE LIBERACION PROLONGADA,Viatris Healthcare Limited,01/04/1999,Autorizado,01/04/1999,N06AX16,VENLAFAXINA  HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,VANDRAL
10693,62407,"BIPRETERAX 4 mg/1,25 mg COMPRIMIDOS",Les Laboratoires Servier,17/01/2003,Autorizado,17/01/2003,C09BA04,"INDAPAMIDA, PERINDOPRIL ERBUMINA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,BIPRETERAX
10694,62431,"DECAPEPTYL DIARIO 0,1 mg polvo y disolvente para solución inyectable",Ipsen Pharma S.A.,01/02/1999,Autorizado,01/02/1999,L02AE04,TRIPTORELINA ACETATO,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,DECAPEPTYL
10695,62459,AMOXICILINA SANDOZ 250 MG/5 ML POLVO PARA SUSPENSIÓN ORAL EFG,Sandoz Farmaceutica S.A.,29/07/1999,Autorizado,29/07/1999,J01CA04,AMOXICILINA TRIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AMOXICILINA
10696,62463,ESTALIS 50 microgramos/250 microgramos/24 HORAS PARCHE TRANSDERMICO,Novartis Farmaceutica S.A.,01/11/1999,Anulado,23/03/2022,G03FA01,"ESTRADIOL HEMIHIDRATO, NORETISTERONA ACETATO",2,NO,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,ESTALIS
10697,60309,TRIGYNOVIN COMPRIMIDOS RECUBIERTOS,Bayer Hispania S.L.,01/04/1995,Anulado,30/05/2022,G03AB06,"ETINILESTRADIOL, ETINILESTRADIOL, ETINILESTRADIOL, GESTODENO, GESTODENO, GESTODENO",6,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TRIGYNOVIN
10698,60313,CORDIPLAST 5 mg/24 h PARCHES TRANSDERMICOS,Merus Labs Luxco Ii S.À.R.L.,01/11/1994,Autorizado,01/11/1994,C01DA02,NITROGLICERINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,CORDIPLAST
10699,60320,SANDIMMUN NEORAL 100 mg CAPSULAS BLANDAS,Novartis Farmaceutica S.A.,01/11/1994,Autorizado,01/11/1994,L04AD01,CICLOSPORINA,1,SI,NO,Diagnóstico Hospitalario,Medicamentos con principios activos de estrecho margen terapéutico,NO,NO,SANDIMMUN
10700,60336,RISPERDAL 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Janssen Cilag S.A.,01/05/1994,Autorizado,01/05/1994,N05AX08,RISPERIDONA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,RISPERDAL
